Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Search result,Chrome 67.0.3396.99,,2018-06-27 16:28:09,2018-06-27 16:35:06,"6m - 56,633s",PASSED
,,,,,,
Test Cases/Basic Test cases/Nothing found for after the user is registered,Chrome 67.0.3396.99,,2018-06-27 16:28:12,2018-06-27 16:29:33,"1m - 21,036s",PASSED
callTestCase,Chrome 67.0.3396.99,,2018-06-27 16:28:15,2018-06-27 16:29:02,"46,777s",PASSED
click,Chrome 67.0.3396.99,,2018-06-27 16:29:02,2018-06-27 16:29:04,"1,986s",PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-06-27 16:29:04,2018-06-27 16:29:06,"2,016s",PASSED
focus,Chrome 67.0.3396.99,,2018-06-27 16:29:06,2018-06-27 16:29:06,"0,535s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 16:29:06,2018-06-27 16:29:08,"1,276s",PASSED
focus,Chrome 67.0.3396.99,,2018-06-27 16:29:08,2018-06-27 16:29:08,"0,387s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 16:29:08,2018-06-27 16:29:09,"0,668s",PASSED
submit,Chrome 67.0.3396.99,,2018-06-27 16:29:09,2018-06-27 16:29:09,"0,546s",PASSED
delay,Chrome 67.0.3396.99,,2018-06-27 16:29:09,2018-06-27 16:29:19,"10,031s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 16:29:19,2018-06-27 16:29:27,"7,516s",PASSED
submit,Chrome 67.0.3396.99,,2018-06-27 16:29:27,2018-06-27 16:29:32,"4,869s",PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-06-27 16:29:32,2018-06-27 16:29:33,"1,027s",PASSED
,,,,,,
Test Cases/Basic Test cases/Nothing Found For,Chrome 67.0.3396.99,,2018-06-27 16:29:33,2018-06-27 16:30:02,"29,603s",PASSED
callTestCase,Chrome 67.0.3396.99,,2018-06-27 16:29:35,2018-06-27 16:29:55,"20,066s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 16:29:55,2018-06-27 16:29:57,"2,275s",PASSED
click,Chrome 67.0.3396.99,,2018-06-27 16:29:57,2018-06-27 16:30:01,"4,300s",PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-06-27 16:30:01,2018-06-27 16:30:02,"0,848s",PASSED
,,,,,,
Test Cases/Basic Test cases/Search by full name when the user is registered,Chrome 67.0.3396.99,,2018-06-27 16:30:02,2018-06-27 16:31:01,"58,371s",PASSED
callTestCase,Chrome 67.0.3396.99,,2018-06-27 16:30:04,2018-06-27 16:30:25,"21,130s",PASSED
click,Chrome 67.0.3396.99,,2018-06-27 16:30:25,2018-06-27 16:30:27,"2,006s",PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-06-27 16:30:27,2018-06-27 16:30:29,"2,000s",PASSED
focus,Chrome 67.0.3396.99,,2018-06-27 16:30:29,2018-06-27 16:30:30,"0,439s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 16:30:30,2018-06-27 16:30:31,"0,965s",PASSED
focus,Chrome 67.0.3396.99,,2018-06-27 16:30:31,2018-06-27 16:30:31,"0,381s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 16:30:31,2018-06-27 16:30:32,"0,914s",PASSED
submit,Chrome 67.0.3396.99,,2018-06-27 16:30:32,2018-06-27 16:30:32,"0,356s",PASSED
delay,Chrome 67.0.3396.99,,2018-06-27 16:30:32,2018-06-27 16:30:42,"10,006s",PASSED
focus,Chrome 67.0.3396.99,,2018-06-27 16:30:42,2018-06-27 16:30:50,"7,552s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 16:30:50,2018-06-27 16:30:51,"0,956s",PASSED
submit,Chrome 67.0.3396.99,,2018-06-27 16:30:51,2018-06-27 16:30:58,"7,093s",PASSED
getText,Chrome 67.0.3396.99,,2018-06-27 16:30:58,2018-06-27 16:31:01,"2,525s",PASSED
,,,,,,
Test Cases/Basic Test cases/Search by not full name when the user is registered,Chrome 67.0.3396.99,,2018-06-27 16:31:01,2018-06-27 16:32:12,"1m - 11,639s",PASSED
callTestCase,Chrome 67.0.3396.99,,2018-06-27 16:31:03,2018-06-27 16:31:30,"27,593s",PASSED
click,Chrome 67.0.3396.99,,2018-06-27 16:31:30,2018-06-27 16:31:33,"2,899s",PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-06-27 16:31:33,2018-06-27 16:31:36,"2,825s",PASSED
focus,Chrome 67.0.3396.99,,2018-06-27 16:31:36,2018-06-27 16:31:36,"0,381s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 16:31:36,2018-06-27 16:31:37,"1,065s",PASSED
focus,Chrome 67.0.3396.99,,2018-06-27 16:31:37,2018-06-27 16:31:38,"0,439s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 16:31:38,2018-06-27 16:31:38,"0,725s",PASSED
submit,Chrome 67.0.3396.99,,2018-06-27 16:31:38,2018-06-27 16:31:39,"0,510s",PASSED
delay,Chrome 67.0.3396.99,,2018-06-27 16:31:39,2018-06-27 16:31:49,"10,004s",PASSED
focus,Chrome 67.0.3396.99,,2018-06-27 16:31:49,2018-06-27 16:31:59,"10,087s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 16:31:59,2018-06-27 16:32:01,"2,185s",PASSED
submit,Chrome 67.0.3396.99,,2018-06-27 16:32:01,2018-06-27 16:32:09,"7,383s",PASSED
getText,Chrome 67.0.3396.99,,2018-06-27 16:32:09,2018-06-27 16:32:12,"3,583s",PASSED
,,,,,,
Test Cases/Basic Test cases/Search by SKU when the user is registered,Chrome 67.0.3396.99,,2018-06-27 16:32:12,2018-06-27 16:33:07,"54,919s",PASSED
callTestCase,Chrome 67.0.3396.99,,2018-06-27 16:32:14,2018-06-27 16:32:35,"20,413s",PASSED
click,Chrome 67.0.3396.99,,2018-06-27 16:32:35,2018-06-27 16:32:37,"1,970s",PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-06-27 16:32:37,2018-06-27 16:32:39,"1,845s",PASSED
focus,Chrome 67.0.3396.99,,2018-06-27 16:32:39,2018-06-27 16:32:39,"0,547s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 16:32:39,2018-06-27 16:32:40,"0,991s",PASSED
focus,Chrome 67.0.3396.99,,2018-06-27 16:32:40,2018-06-27 16:32:41,"0,453s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 16:32:41,2018-06-27 16:32:42,"1,126s",PASSED
submit,Chrome 67.0.3396.99,,2018-06-27 16:32:42,2018-06-27 16:32:42,"0,365s",PASSED
delay,Chrome 67.0.3396.99,,2018-06-27 16:32:42,2018-06-27 16:32:52,"10,004s",PASSED
focus,Chrome 67.0.3396.99,,2018-06-27 16:32:52,2018-06-27 16:32:58,"5,493s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 16:32:58,2018-06-27 16:32:59,"1,201s",PASSED
click,Chrome 67.0.3396.99,,2018-06-27 16:32:59,2018-06-27 16:33:05,"6,496s",PASSED
getText,Chrome 67.0.3396.99,,2018-06-27 16:33:05,2018-06-27 16:33:07,"1,918s",PASSED
,,,,,,
Test Cases/Basic Test cases/Search by SKU,Chrome 67.0.3396.99,,2018-06-27 16:33:07,2018-06-27 16:33:43,"35,609s",PASSED
callTestCase,Chrome 67.0.3396.99,,2018-06-27 16:33:09,2018-06-27 16:33:35,"25,790s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 16:33:35,2018-06-27 16:33:37,"2,181s",PASSED
click,Chrome 67.0.3396.99,,2018-06-27 16:33:37,2018-06-27 16:33:41,"4,016s",PASSED
getText,Chrome 67.0.3396.99,,2018-06-27 16:33:41,2018-06-27 16:33:43,"1,976s",PASSED
,,,,,,
Test Cases/Basic Test cases/Search full name,Chrome 67.0.3396.99,,2018-06-27 16:33:43,2018-06-27 16:34:24,"41,013s",PASSED
callTestCase,Chrome 67.0.3396.99,,2018-06-27 16:33:46,2018-06-27 16:34:07,"21,436s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 16:34:07,2018-06-27 16:34:11,"3,780s",PASSED
click,Chrome 67.0.3396.99,,2018-06-27 16:34:11,2018-06-27 16:34:23,"12,313s",PASSED
getText,Chrome 67.0.3396.99,,2018-06-27 16:34:23,2018-06-27 16:34:24,"0,726s",PASSED
,,,,,,
Test Cases/Basic Test cases/Search not full name,Chrome 67.0.3396.99,,2018-06-27 16:34:24,2018-06-27 16:35:04,"39,639s",PASSED
callTestCase,Chrome 67.0.3396.99,,2018-06-27 16:34:26,2018-06-27 16:34:48,"21,838s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 16:34:48,2018-06-27 16:34:51,"3,122s",PASSED
click,Chrome 67.0.3396.99,,2018-06-27 16:34:51,2018-06-27 16:35:03,"11,958s",PASSED
getText,Chrome 67.0.3396.99,,2018-06-27 16:35:03,2018-06-27 16:35:04,"0,519s",PASSED
